,soil_moisture,humidity,temperature,labels
856,66,86,22.0,0
857,65,85,22.1,0
858,66,85,22.1,0
859,66,84,22.0,0
860,66,81,22.0,0
861,66,78,22.5,1
862,66,79,22.4,1
863,66,77,22.4,1
864,66,78,22.3,1
865,66,79,22.2,1
866,66,80,22.1,0
867,65,80,21.7,0
868,65,80,21.9,0
869,66,78,22.2,1
870,66,76,22.2,1
871,66,76,22.2,1
872,65,75,22.0,1
873,66,75,21.9,1
874,66,76,22.0,1
875,65,79,21.9,1
876,66,80,21.7,0
877,66,80,21.5,0
878,66,81,21.4,0
879,65,80,21.6,0
880,66,80,21.8,0
881,66,81,21.4,0
882,66,82,21.2,0
883,66,82,21.4,0
884,66,82,21.4,0
885,65,80,21.6,0
886,66,79,21.8,1
887,66,80,21.6,0
888,66,80,21.4,0
889,66,82,21.3,0
890,66,84,21.1,0
891,66,86,20.7,0
892,66,86,20.7,0
893,65,87,20.5,0
894,65,85,21.1,0
895,65,85,21.3,0
896,65,86,21.1,0
897,65,85,21.1,0
898,65,85,21.1,0
899,66,84,21.2,0
900,66,84,21.3,0
901,66,85,20.9,0
902,66,86,20.9,0
903,65,86,20.9,0
904,65,88,20.7,0
905,66,86,21.1,0
906,66,87,21.0,0
907,65,88,20.9,0
908,65,89,20.7,0
909,64,88,20.8,0
910,65,46,20.8,0
911,65,56,20.6,0
912,66,52,20.5,0
913,65,58,20.5,0
914,65,56,20.4,0
915,65,54,20.5,0
916,65,53,20.7,0
917,66,89,21.1,0
918,66,90,21.1,0
919,66,89,21.1,0
920,65,90,21.0,0
921,65,59,20.8,0
922,64,52,20.8,0
923,65,47,20.6,0
924,65,55,20.8,0
925,64,55,20.7,0
926,66,53,20.5,0
927,64,48,20.6,0
928,64,53,20.7,0
929,65,53,20.9,0
930,65,50,21.0,0
931,65,59,21.0,0
932,65,51,21.0,0
933,64,55,20.8,0
934,64,54,20.5,0
935,65,61,20.3,1
936,65,62,20.5,1
937,65,50,20.1,0
938,65,50,20.3,0
939,66,51,20.5,0
940,65,50,20.4,0
941,66,56,20.1,0
942,65,48,20.1,0
943,66,51,20.1,0
944,66,89,20.0,0
945,66,85,20.3,0
946,66,82,20.3,0
947,66,83,20.4,0
948,66,84,20.0,0
949,66,86,19.9,0
950,66,87,19.5,0
951,67,86,19.7,0
952,67,86,19.4,0
953,67,87,19.3,0
954,66,87,19.4,0
955,66,87,19.4,0
956,66,83,20.1,0
957,67,85,19.8,0
958,66,86,19.7,0
959,66,84,20.0,0
960,67,86,19.8,0
961,67,87,19.5,0
962,67,88,19.3,0
963,67,87,19.5,0
964,67,52,19.1,0
965,66,58,19.2,0
966,67,48,19.2,0
967,67,89,19.3,0
968,66,86,19.8,0
969,66,86,20.1,0
970,67,88,19.5,0
971,67,85,19.7,0
972,67,78,20.2,1
973,66,76,20.8,1
974,67,75,21.0,1
975,67,73,21.1,1
976,66,74,21.2,1
977,67,71,21.4,1
978,66,71,21.5,1
979,66,69,21.7,1
980,66,68,22.0,1
981,66,64,22.7,1
982,66,57,25.3,0
983,66,54,26.3,0
984,66,51,26.9,0
985,65,47,27.7,0
986,66,45,28.3,0
987,66,46,28.3,0
988,66,44,29.2,0
989,66,40,29.3,0
990,66,41,28.8,0
991,66,40,29.5,0
992,65,41,29.1,0
993,65,42,28.5,0
994,65,39,29.4,0
995,65,40,28.2,0
996,65,38,29.1,0
997,65,37,30.3,0
998,65,34,30.8,0
999,64,37,30.6,0
1000,64,36,30.5,0
1001,64,36,30.5,0
1002,64,35,31.0,0
1003,64,31,31.0,0
1004,64,31,31.0,0
1005,64,30,32.0,0
1006,64,28,32.6,0
